Album,Year,Song,Lyrics
Mr. A-Z,2005,O. Lover,"What's the worst thing that could happen?
We could change our minds.
That seems to be the hottest topic at this time.
We are sitting around in the meditation, dragging, chasing,
Wonderin?whose holdin?whose got the will to draw the line.

I know you've got something burning up inside,
It's so unhealthy but so good for me, oh!
Said if I didn't know, and if I didn't know, well if I didn't know that you loved me would you tell me?
Well God only knows our contradiction's to quitting, is a hate to love relationship thing.
A fire under you is so fulfilling,
I fear there's nothing more.

I'm giving, giving you, the choke hold,
My flirting with disaster is mighty loved.
Ugggh you, you're so bold,
My wanting to kiss you still is not enough.
I'm getting over, all the comments.
I'm feeling statements made by people are nonsense.
I'm getting stronger, by the minute.
And once I slip into position I'll swing you and turn you all around.

You are the sweetest thing I've found since whenever,
You're the only way my time is measured.
You might be the silent type,
But your appetizing louder now.
It's crazy how you're killing me.
Woo, you're killing me, but I like your

Red top and matching bottoms.
You know the ones, the ones you got on,
Pull them over your skinny self
But don't cover your tattoo.
Woo, cause I like to look at you, yeah,
I love that smell on you,
And I got your special place against this face for tasting too.

And I like it natural,
No need for chemicals.
Foggin?up my senses
You're making me sensless
You're calling it sexual.

And you're going to get yours, my lady.
Might even be today.
And it ain't no thing because I'll be rolling right along with you-woo-woo.

You are the sweetest thing I've found since whenever.
You're the only way my time is measured.
You might be the silent type.
But you're appetizing louder now.
It's crazy how you're killing me.
And give us both a break.
And to give us back a taste when the way things were before they made the laws,
And to give us both a chance,
But it won't be the last romance cause when the weekend starts the guilty party's on.

[Scatting]

BREAKDOWN!!
Weekend party's over,
Don't stop, let's get closer.
Friday, got cold shoulder,
Monday, got a new composure.

Weekend party's over,
Don't stop, let's get lower.
I won't blow your cover,
Opportunistic lover.

Weekend party's over,
Don't stop, let's get closer.
Friday's mediocre,
Monday, I'm self-exposed now.

Weekend party's over,
Don't stop, let's suppose-ah
I won't blow your cover
Opportunistic lover."
Mr. A-Z,2005,Please Don't Tell Her,"I hear she's kicking ass across the board and rock two hundred thousand higher scorer
Just in time to save the world of being taken over
She's a warrior
I couldn't play again because the game it never ended it never even landed on the can
And never let me in to spend my quarter
There's no love for me no more

Say it isn't so
How she easily come, and she easy go
Please don't tell her that I've been meaning to miss her
Because I don't

She was the girl with the broadest shoulders
But she would die before I crawled over them
She is taller than I am
She knew I wouldn't mind the view there
Or the altitude with a mouth full of air
She let me down the doubt came out until the now became later

Say that it isn't so
How she easily come, how she easy go
Please don't tell her that
'Cause she don't really need to know

That I'm crazy like the rest of us
And I'm crazier when I'm next to her

So why after the all of everything that came and went
I care enough to still be singing of the bitter end and broken eras
I told you I don't but
I am only trying to be the best with my intent to cure
The rest is sure to lay me ease the plural hurts of the words of reverse psychology
That's easier said
Easier than done
Please don't dare tell her what I've become
Please don't mention all the attention I have drawn
Please don't bother cause she'll feel guilty when I'm gone

Because I'm crazy like the rest of us
But I'm crazier when I'm next to her
And it's amazing how she's so self-assured
But I know she'd hate me if she knew my words
Do I hurt anymore
Do I hurt, well
I don't
I don't
I don't"
Mr. A-Z,2005,Forecast,"Well I heard that it might be raining bed sheets and lover's words
Let's throw out the hotel comforter and hang the 'do not disturb'
Sign me up for the storm
I'll wear my suit for the shower
Cause I'll have you to keep me warm in the coldest hour

And when the darkness falls under your hair, there I'll be
And crazy is the forecast all week

Well every kiss, every hug is so light on that touch, delicate like a snowflake
Well I can taste, I can taste, I can taste, I can taste you all over my face
And everyone might find it foolish to not be counting on the sun
But your mouth is my umbrella now
Because I'm holding your tongue

And when the darkness falls under your hair, there I'll be
And crazy is the forecast all week

There's a good chance in hell
Like cats and dogs we'll be flying
And I'm no weatherman
But you are lightning, striking

Here comes that sun
Want rain
All at once
How it sing

In the midst of the morning pull up a blanket of a cloud
And await for the warning of another come down
Because the water is healthy for the roses in your cheeks
My well holds plenty for penny wishin' in your deep end
And when the lights go out, no doubt, with you I'll be

And crazy is the forecast all week

And if them rains should fall for sure with you I'll be
Ah because crazy is the forecast all week long
Crazy is the forecast"
Mr. A-Z,2005,Song For A Friend,"Well you're magic he said
But don't let it all go to your head
Cuz I bet if you all had it all figured out
Then you'd never get out of bed
No doubt
Of all the thing's that I've read what he wrote me
Is now sounding like the man I was hoping
To be
I Keep on keeping it real
Cause it keeps getting easier, he'll see
He's the reason that I'm laughing
Even if there's no one else
He said, you've got to love yourself

You say, you shouldn't mumble when you speak
But keep your tongue up in your cheek
And if you stumble onto something better remember that it's humble that you seek
You got all the skill you need,
Individuality
You got something
You call it gumption
You call it anything you want
Because when you play the fool now
You're only fooling everyone else
You're learning to love yourself

Yes you are

There's no price to pay
When you give and what you take,
That's why it's easy to thank you
You...

Let's say take a break from the day
And get back to the old garage
Because life's too short anyway
But at least it's better then average
As long as you got me
And I got you
You know we'll got a lot to go around
I'll be your friend
Your other brother
Another love to come and comfort you
And I'll keep reminding
If it's the only thing I ever do
I will always love
I will always love you
Yes you
I will always, always, always, always love
I will always, always love
I will always, always love, love

Climb up over the top.
Survey the state of the soul.
You've got to find out for yourself whether or not you're truly trying.
Why not give it a shot?
Shake it. Take control and inevitably wind up
Find out for yourself all the strengths you have inside of you."
"We Sing, We Dance, We Steal Things",2008,Make It Mine,"Wake up everyone
How can you sleep at a time like this
Unless the dreamer is the real you
Listen to your voice
The one that tells you to taste past the tip of your tongue
Leap and the net will appear

I don't wanna wake before
The dream is over
I'm gonna make it mine
Yes I, I know it
I'm gonna make it mine
Yes I'll make it all mine

I keep my life on a heavy rotation
Requesting that it's lifting you up
Up up and away
And over to a table at the Gratitude Café

And I am finally there
And all the angels they'll be singing
Ah la la la ah la la la I la la la la love you

Well I don't wanna break before
The tour is over
I'm gonna make it mine
Yes I... I'll own it
I'm gonna make it mine
Yes I'll make it all mine

Timing's everything
And this time there's plenty
I am balancing
Careful and steady
And reveling in energy that everyone's emitting

Well I don't wanna wait no more
Oh I wanna celebrate the whole world
I'm gonna make it mine
Oh yes I'm following your joy
I'm gonna make it mine
Because I... I am open
I'm gonna make it mine
That's why I will show it
I'm gonna make it all mine
Gonna make, gonna make, gonna make, gonna make it, make it, make it mine
All mine, yes I'll make it all mine"
"We Sing, We Dance, We Steal Things",2008,I'm Yours,"Well, you done done me and you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back

Before the cool done run out
I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon, it's again my turn
To win some or learn some

But I won't hesitate
No more, no more
It cannot wait
I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
And look into your heart and you'll find love, love, love, love
Listen to the music of the moment, people dance and sing, we're just one big family
And it's our God-forsaken right to be loved, loved, loved, loved, loved

So I won't hesitate
No more, no more
It cannot wait
I'm sure
There's no need to complicate
Our time is short
This is our fate
I'm yours

But don't you want to come on and scooch on over closer, dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate
No more, no more
It cannot wait
I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find that the sky is yours
So please don't, please don't, please don't
There's no need to complicate
'Cause our time is short
This oh, this oh, this is our fate
I'm yours

Oh, I'm yours
Oh, I'm yours
Oh, oh
Baby, do believe I'm yours?
You best believe, you best believe, I'm yours"
"We Sing, We Dance, We Steal Things",2008,Lucky,"Do you hear me, I'm talking to you
Across the water across the deep blue ocean
Under the open sky, oh my, baby I'm trying

Boy, I hear you in my dreams
I feel your whisper across the sea
I keep you with me in my heart
You make it easier when life gets hard

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again
Ooohh ooooh oooh oooh ooh ooh ooh ooh

They don't know how long it takes
Waiting for a love like this
Every time we say goodbye
I wish we had one more kiss
I'll wait for you, I promise you, I will

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again
Lucky we're in love in every way
Lucky to have stayed where we have stayed
Lucky to be coming home someday

And so I'm sailing through the sea
To an island where we'll meet
You'll hear the music fill the air
I'll put a flower in your hair

Though the breezes through the trees
Move so pretty you're all I see
As the world keeps spinning round
You hold me right here right now

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again
I'm lucky we're in love in every way
Lucky to have stayed where we have stayed
Lucky to be coming home someday

Ooohh ooooh oooh oooh ooh ooh ooh ooh
Ooooh ooooh oooh oooh ooh ooh ooh ooh"
"We Sing, We Dance, We Steal Things",2008,Butterfly,"I'm taking a moment just imaginin' that I'm dancin' with you
I'm your pole and all you're wearing is your shoes
You got soul, you know what to do to turn me on until I write a song about you
And you have your own engaging style
And you've got the knack to vivify
And you make my slacks a little tight, you may unfasten them if you like
That's if you crash and spend the night

But you don't fold, you don't fade
You've got everything you need, especially me
Sister you've got it all
You make the call to make my day
In your message say my name
Your talk is all the talk, sister you've got it all

Curl your upper lip up and let me look around
Ride your tongue along your bottom lip then bite down
And bend your back and ask those hips if I can touch
Because they're the perfect jumping off point, getting closer to your

Butterfly
Well you float on by
Oh kiss me with your eyelashes tonight
Or Eskimo your nose real close to mine
And let's mood the lights and finally make it right
But you don't fold, you don't fade, you got everything you need
Especially me
Sister you've got it all

You make the call to make my day
In your message say my name
Your talk is all the talk sister you've got it all
You've got it all, you've got it all, you've got it all
You've got it all, you've got it all, you've got it all

You've got it all, you've got it all

Doll I need to see you pull your knee socks up
Let me feel you upside down, slide in, slide out, slide over here
Climb into my mouth now child

Butterfly, well you landed on my mind
Damn right you landed on my ear and then you crawled inside
And now I see you perfectly behind closed eyes
I wanna fly with you and I don't wanna lie to you
Cause I, cause I can't recall a better day
Sun coming to shine on the occasion

You're an open-minded lady
You've got it all
And I never forget a face
Except for maybe my own
I have my days
Let's face the fact here, it's you who's got it all

You know that fortune favors the brave
Well let me get paid while I make you breakfast
The rest is up to you, you make the call

You make the call to make my day
In your message say my name
Your talk is all the talk, sister you've got it all

I can't recall a better day
Sun comin' to shine on the occasion
Hey sophisticated lady, oh you've got it all

You've got it all, you've got it all, you've got it all
You've got it all, you've got it all, you've got it all
You've got it all, you've got it all, you've got it all
You've got it all, you've got it all

Butterfly, baby, well you got it all"
"We Sing, We Dance, We Steal Things",2008,Live High,"I try to picture the girl
Through a looking glass
And see her as a carbon atom
See her eyes and stare back at them
See that girl
As her own new world
Though a home is on the surface, she is still a universe

Glory God, oh God is peeking through the blinds
Are we all here standing naked
Taking guesses at the actual date and time
Oh my, justifying reasons why
Is an absolutely insane resolution to live by

Live high
Live mighty
Live righteously
Taking it easy
Live high, live mighty
Live righteously

I try to picture the man
To always have an open hand
And see him as a giving tree
See him as matter
Matter of fact he's not a beast
No, not the devil either
Always a good deed doer
And it's laughter that we're making after all

The call of the wild is still in order nation wide
In the order of the primates
All our politics are too late
Oh my, the congregation in my mind
Is this assembly singing of gratitude
Practicing their loving for you

Live high
Live mighty
Live righteously
Taking it easy
Live high
Live mighty
Live righteously

And sing it out
And just take it easy
And celebrate the malleable reality
You see, nothing is ever as it seems
Yet this life is but a dream

Lift me up to the almighty
Raise your hands and start acknowledging
If your living it righteously
Then you're living the easy way
Just, just, take, taking it easy

Live high
Live high
Live mighty, mighty, mighty
Oh live righteously
And taking it easy

Live high
Live high
Live mighty
Lift me up to the almighty
Oh live righteously.
Live it righteously.
And just take, just-just taking it easy

Live high
Live mighty
Celebrate the malleable reality
Live it righteously.

Sing it now
Just, take it, take it easy.
Saying living it high
Oh live righteously.
Just take it easy."
"We Sing, We Dance, We Steal Things",2008,Love For A Child,"There's a picture on my kitchen wall
Looks like Jesus and his friends involved
There's a party getting started in the yard
And there's a couple getting steamy in the car parked in the drive
Was I too young to see this with my eyes?

And by the pool that night, apparently
The chemicals weren't mixed properly
You hit your head and then forgot your name
And then you woke up at the bottom by the drain
And now your altitude and memory's a shame

What about taking this empty cup and filling it up
With a little bit more of innocence
I haven't had enough, it's probably because when you're young
It's okay to be easily ignored
I'd like to believe it was all about love for a child

And when the house was left in shambles
Who was there to handle all the broken bits of glass
Was it mom who put my dad out on his ass or the other way around
Well I'm far too old to care about that now

What about taking this empty cup and filling it up
With a little bit more of innocence
I haven't had enough, it's probably because when you're young
It's okay to be easily ignored
I'd like to believe it was all about love for a child

It's kinda nice to work the floor since the divorce
I've been enjoying both my Christmases and my birthday cakes
And taking drugs and making love at far too young an age
And they never check to see my grades
What a fool I'd be to start complaining now

What about taking this empty cup and filling it up
With a little bit more of innocence
I haven't had enough, it's probably because when you're young
It's okay to be easily ignored
I'd love to believe it was all about love for a child

It was all about love..."
"We Sing, We Dance, We Steal Things",2008,Details In The Fabric,"Calm down
Deep breaths
And get yourself dressed instead
Of running around
And pulling on your threads
And breaking yourself up

If it's a broken part, replace it
If it's a broken arm, then brace it
If it's a broken heart, then face it

And hold your own
Know your name
And go your own way
Hold your own
Know your name
And go your own way

And everything will be fine

Hang on
Help is on the way
And stay strong
I'm doing everything

Hold your own
Know your name
And go your own way
Hold your own
Know your name
And go your own way

And everything, everything will be fine
Everything

Are the details in the fabric
Are the things that make you panic
Are your thoughts results of static cling?

Are the things that make you blow
Hell, no reason, go on and scream
If you're shocked it's just the fault
Of faulty manufacturing.

Everything will be fine
Everything in no time at all
Everything

Hold your own
And know your name
And go your own way

Are the details in the fabric (Hold your own, know your name)
Are the things that make you panic
Are your thoughts results of static cling? (Go your own way)

Are the details in the fabric (Hold your own, know your name)
Are the things that make you panic (Go your own way)
Is it Mother Nature's sewing machine?

Are the things that make you blow (Hold your own, know your name)
Hell no reason go on and scream
If you're shocked it's just the fault (Go your own way)
Of faulty manufacturing

Everything will be fine
Everything in no time at all
Hearts will hold"
"We Sing, We Dance, We Steal Things",2008,Coyotes,"Sipping coffee at a quarter to two
I wake up and I'm dallin and my minds running to you
No wonder I'm a one woman man
She keeps my heart in a jar on the nightstand
I should tell her that she couldn't be more
Opposite then a foot in a door,
There's no one else I would rather go out with, that's hell when I see them standing there
Me and my mouth we don't mean to be rushing
We talk about deep freely Cause we crushing
I want to shake both sides of the butt ya
Theoretically, yes, ain't we lucky?

And when the coyotes they sing at the park
It's when the city life starts falling for the sea
Winding roads are winding down and the flying man'll hit the ground
Every motion is closer to touching
the coyotes sing when they call on your lovin.

Coming back for more,
You know I'm coming for you
You know we should be should be together
'cause once we rock, we won't wanna stop
Not today not tomorrow.
You better lock your doors
You know why, cause we want you
'cause we like you a lot

I wish the world was alive like you.
I wish the world would help me through
Another opportunity to approach you
Another telepathic rendezvous
I wish you well with your weapon of jargon
You've got a double-sided lexicon
I got to try to keep your attention
Gotta write using less emoticons
Gotta figure out the snooze alarm
I wanna lay in your place till dawn
I wanna play in the park come on, now
Let me see your other upper echelon

And when the coyotes escape to new york
Then the city life has crumbled to the sea
And the girls all fall to the lost and found
The flying man'll hit the ground
Every motion is closer to touching
The coyotes sing when they feast on your lovin'

I'm a coyote and I got a taste for your lovin'

We're coming back for more,
You know I'm coming for you
You know we should be; we should be together
'Cause once we rock, we won't want to stop
Not today or tomorrow.

Not today or tomorrow, oh no

Because once we rock, we won't want to stop
Not today or tomorrow."
"We Sing, We Dance, We Steal Things",2008,Only Human,"A squirrel in the tree is he watching me
Does he give a damn?
Does he care who I am?
I'm just a man, is that all I am
Are my manners misinterpreted words or only human?
I'm human

Murderous crow, hey what you know
What you reading about, what you hold in your toes
Is that a twig, are you a dove of peace
A black dove undercover, with another puzzle piece
Are you a riddle to solve all along?
Or am I over thinking thoughts of human after all

Only human
Made of flesh, made of sand, made of human
The planet's talking about a revolution
The natural laws ain't got no constitution
They've got a right to live their own life
But we keep paving over paradise

'Cause we're only human
Yes we are, only human
If it's our only excuse do you think we'll keep on being only human
Yes we are, yes we are
Only human, only human, only human
So far:

Up in the major's tree, the one he planted back when he was just a boy
Back in 1923
Thirty meters and a foot, take a look, take a climb
What you'll find is the product of a seed
The seed is sown, all alone
It grows above, with a heart of love
Sharp and shelter of the animals of land and cold weather breathing
We're all breathing in

The planet's talking about a revolution
The natural laws ain't got no constitution
They've got a right to live their own life
But we keep paving over paradise

'Cause we're only human
Yes we are, only human
If it's our only excuse do you think we'll keep on being only human
Yes we are, only human, only human, so far, so far

And this place it will outlive me
Before I get to heaven I'll climb that tree
And I will have to give my thanks
For giving me the branch to swing on
If I ever fall in love
I'll have to give myself a baby
I will let my children have their way

'Cause we're only human, yes we are
Only human, so far, so far"
"We Sing, We Dance, We Steal Things",2008,The Dynamo Of Volition,"I've got the dynamo of volition
The po-pole position
Automatic transmission with lo-ow emissions
I'm a brand new addition to the old edition
With the love unconditional

Then I'm a drama abolitionist
Damn no opposition to my proposition
Half of a man, half magician
Half a politician holding the mic
Like ammunition
And my vision is as simple as light

Ain't no reason we should be in a fight
No demolition
Get to vote, get to say what you like
Procreation
Compositions already written by themselves
Heck is for the people not believin' in gosh

Good job
Get 'em up way high
Gimme gimme that high five
Good time
Get 'em way down low
Gimme gimme that low dough
Good God
Bring 'em back again
Gimme gimme that high ten
You're the best definition of good intentions

I do not answer the call if
I do not know who is calling
I guess the whole point of it all is
That we never know really

I'm tryin' to keep with the Joneses
While waiting for guns and the roses
To finish what we all suppose is
Gonna be the shit, so sue me

Oh, fist like bumping and wrist lock
Twisting up a rizla
Kid Icarus on the transistor
Nintendo been givin' me the blister
I bend over take it in the kisser

My best friends are hittin' on my sister
Try to tell them that they still wish-a
'Cause she already got herself a mister
And besides that's gross to want to dis her
D-d-d-didn't I say, didn't I say

Good job
Get 'em up way high
Gimme gimme that high five
Good time
Get 'em way down low
Gimme gimme that low dough
Good God
Bring 'em back again
Gimme gimme that high ten
You're the best definition of good versus evil

I do not keep up with statistics
I do not sleep without a mistress
I do not eat unless it's fixed with
Some kind of sweet like a licorice
My home is deep inside the mystics
I'm known to keep digging on existence
I'm holdin' in the heat like a fishstick
My phone it beeps because I missed it

I do not answer the call if
I do not know who is calling
I'm making no sense of it all
Say, can I get a witness?

I'm only a boy in a story
Just a hallucinatory
Trippin' on nothing there is
Living in the wilderness

With a tiger spot on my back
Living life of a cat
I just wanna relax here
And write another rap tune
Driving off on your blind man's bike
You can say just what you like
Or nothing can stop you

Good job
Get 'em up way high
Gimme gimme that high five
Good time
Get 'em way down low
Gimme gimme that low dough
Good God
Bring 'em back again
Gimme gimme that high ten
You're the best, you're the best, you're the best, you're the best

Good job
Get 'em up way high
Gimme gimme that high five
Good time
Get 'em way down low
Gimme gimme that low dough
Good God
Bring 'em back again
Gimme gimme that high ten
You're the best definition of good intention
You're the best definition of good intention
You're the best definition of good intention

You're the best around"
"We Sing, We Dance, We Steal Things",2008,If It Kills Me,"Hello, tell me you know
Yeah, you figured me out
Something gave it away
It would be such a beautiful moment
To see the look on your face
To know that I know that you know now

And baby that's a case of my wishful thinking
You know nothing
Well you and I
Why, we go carrying on for hours on end
We get along much better
Than you and your boyfriend

[Chorus:]
Well all I really wanna do is love you
A kind much closer than friends use
But I still can't say it after all we've been through
And all I really want from you is to feel me
As the feeling inside keeps building
And I will find a way to you if it kills me
If it kills me

How long, can I go on like this,
Wishing to kiss you,
Before I rightly explode?
This double life I lead isn't healthy for me
In fact it makes me nervous
If I get caught I could be risking it all

Cause maybe there's a lot that I miss
In case I'm wrong

[Chorus]

If I should be so bold
I'd ask you to hold my heart in your hand
I'd tell you from the start how I've longed to be your man
But I never said a word
I guess I'm gonna miss my chance again

All I really wanna do is love you
A kind much closer than friends use
But I still can't say it after all we've been through
And all I really want from you is to feel me
As the feeling inside keeps building
And I will find a way to you if it kills me
If it kills me
If it kills me
I think it might kill me

And all I really wanna do is to feel you
Yeah, the feeling inside keeps building
I'll find a way to you if it kills me
If it kills me
It might kill me"
"We Sing, We Dance, We Steal Things",2008,A Beautiful Mess,"You've got the best of both worlds
You're the kind of girl who can take down a man,
And lift him back up again
You are strong but you're needy,
Humble but you're greedy
And based on your body language,
And shoddy cursive I've been reading

Your style is quite selective,
Though your mind is rather reckless
Well, I guess it just suggests
That this is just what happiness is

And what a beautiful mess this is
And it's like we're picking up trash in dresses

Well, it kind of hurts when the kind of words you write
Kind of turn themselves into knives
And don't mind my nerve you could call it fiction
But I like being submerged in your contradictions, dear
'Cause here we are, here we are

Although you were biased I love your advice
Your comebacks ‒ they're quick
And probably have to do with your insecurities
There's no shame in being crazy,
Depending on how you take these
Words I'm paraphrasing this relationship we're staging

And what a beautiful mess this is
It's like picking up trash in dresses

Well, it kind of hurts when the kind of words you say
Kind of turn themselves into blades
And ""kind and courteous"" is a life I've heard
But it's nice to say that we played in the dirt, oh dear,
'Cause here, here we are, here we are
Here we are [7x]

We're still here
What a beautiful mess this is
It's like taking a guess when the only answer is ""Yes""

And through timeless words and priceless pictures
We'll fly like birds not of this earth

And tides ‒ they turn ‒ and hearts disfigure
But that's no concern when we're wounded together

And we tore our dresses and stained our shirts
But it's nice today. Oh, the wait was so worth it."
Love Is A Four Letter Word,2012,Freedom Song,"I picture something is beautiful
It's full of life and it is all blue
I've seen the sunset on the beach, yeah
It makes me feel calm, when I'm calm

I feel good
When I feel good I sing
And the joy it brings makes me feel good
And when I feel good I sing
And the joy it brings

[Chorus:]
Come on along, I know you really want to feel our song
We've got some life to bring
We've got some joy in this thing
Come on along, I know you really want to feel our song
We've got some life to bring
We've got some joy in this thing

I see birds fly across the sky, yeah
And everyone's heart flies together
Food is frying and people smiling
Like there is no other way...

To feel good (good)
And when I feel good I sing (sing)
And the joy it brings makes me feel good (good)
And when I feel good I sing (sing)
And the joy it brings

[Chorus:]
Come on along, I know you really want to feel our song
We've got some life to bring
We've got some joy in this thing
Come on along, I know you really want to feel our song
We've got some life to bring
We've got some joy in this thing

[Interlude]

I feel good
And when I feel good I sing
And the joy it brings makes me feel good
And when I feel good I sing
And the joy it brings

It brings me freedom (freedom), woah,
Got to get yourself to that freedom
It's freedom
Singing freedom (freedom) woah,
You deserve your freedom
It's a smile you can keep in your heart
Freedom, woah,
Everybody got to know freedom
Love to feel in it beauty
Freedom, woah,
Got to get to someone,
Got to get to someone,
Got to get to someone,
Got to get to someone freedom
Freedom, woah,
Everybody know freedom
It's freedom, come on, try to sing
Freedom, woah, everybody got to know freedom
Break it down

Get you [x7] that freedom

[Chorus:]
Come on along, I know you really want to feel our song
We've got some life to bring
We've got some joy in this thing"
Love Is A Four Letter Word,2012,Living In The Moment,"If this life is one act
Why do we lay all these traps?
We put them right in our path
When we just wanna be free

I will not waste my days
Making up all kinds of ways
To worry about all the things
That will not happen to me

So I just let go of what I know I don't know
And I know I'll only do this by
Living in the moment
Living our life
Easy and breezy
With peace in my mind
With peace in my heart
Peace in my soul
Wherever I'm going, I'm already home
Living in the moment

I'm letting myself off the hook for things I've done
I let my past go past
And now I'm having more fun
I'm letting go of the thoughts
That do not make me strong
And I believe this way can be the same for everyone

And if I fall asleep
I know you'll be the one who'll always remind me
To live in the moment
To live my life
Easy and breezy
With peace in my mind
With peace in my heart
Got peace in my soul
Wherever I'm going, I'm already home

I can't walk through life facing backwards
I have tried
I tried more than once to just make sure
And I was denied the future I'd been searching for
But I spun around and hurt no more
By living in the moment
Living my life
Easy and breezy
With peace in my mind
With peace in my heart
Got peace in my soul
Wherever I'm going, I'm already home

I'm living in the moment
I'm living my life
Just taking it easy
With peace in my mind
Got peace in my heart
Got peace in my soul
Oh, wherever I'm going, I'm already home

I'm living in the moment
I'm living my life
Oh, easy and breezy
With peace in my mind
Peace in my heart
Peace in my soul
Wherever I'm going, I'm already home
I'm living in the moment"
Love Is A Four Letter Word,2012,The Woman I Love,"Maybe I annoy you with my choices
Well, you annoy me sometimes too with your voice
But that ain't enough for me
To move out and move on
I'm just gonna love you like the woman I love

We don't have to hurry
You can take as long as you want
I'm holdin' steady
And my heart's at home
With my hand behind you
I will catch you if you fall
I'm just gonna love you like the woman I love

Sometimes the world can make you feel
You're not welcome anymore
And you beat yourself up
You let yourself get mad
And in those times when you stop lovin'
The woman I adore
You can relax
Because, babe, I got your back
Mm, I got you

I don't wish to change you
You've got it under control
You wake up each day different
Another reason for me to keep holdin' on
I'm not attached to any way you're showing up
I'm just gonna love you like the woman I love
Yeah I'm gonna love you, oh, yeah
I'm gonna love you
You're the woman I love"
Love Is A Four Letter Word,2012,I Won't Give Up,"When I look into your eyes
It's like watching the night sky
Or a beautiful sunrise
Well, there's so much they hold
And just like them old stars
I see that you've come so far
To be right where you are
How old is your soul?

Well, I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up

And when you're needing your space
To do some navigating
I'll be here patiently waiting
To see what you find

'Cause even the stars they burn
Some even fall to the earth
We've got a lot to learn
God knows we're worth it
No, I won't give up

I don't wanna be someone who walks away so easily
I'm here to stay and make the difference that I can make
Our differences they do a lot to teach us how to use
The tools and gifts we got, yeah, we got a lot at stake
And in the end, you're still my friend at least we did intend
For us to work we didn't break, we didn't burn
We had to learn how to bend without the world caving in
I had to learn what I've got, and what I'm not
And who I am

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up, I'm still looking up

Well, I won't give up on us (no I'm not giving up)
God knows I'm tough enough (I am tough, I am loved)
We got a lot to learn (we're alive, we are loved)
God knows we're worth it (and we're worth it)

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up"
Love Is A Four Letter Word,2012,5/6,"Are you dancing with your partner, or are you pushing them around?
Are you begging for attention, or do you love the one you’ve found?
Are you giving up your Saturdays to waltz all over town?
Or is every day a jolly holiday with whomever you're with now?

You could give it all away, give it all and be unstoppable
All away, everything is really possible, all away
You never really own it anyway, It’ll all fall in place if you just let go

Don’t dress up your children like dolls from your past
Or They’ll run from you madly, they'll never look back
And when they grow older, they’ll do just the same
The world’s a reflection of how children play

Well You could give it all away, give it all and be unstoppable
All away, gonna make empty meaningful
You never really own it anyway, It’ll all fall in place if you just let go

When you’re in the mood, baby
Hear just what your heart has to say
When the world is turning topside and turvy then you better hurry back down
To the bottom of your soul and be loved

Your word is your access, your mouth is your door
Let’s slide down inside there, and see what's in store
In the middle there’s a rhythm picking, it's a freaking hard beat
At the bottom there’s a lot of water keeping your soul deep

You could give it all away, give it all and be unstoppable
All away, everything is really possible, all away
You never really own it anyway, It’ll all fall in place if you just let go

When you’re in the mood, baby
Hear just what your heart has to say
When the world is turning topside and turvy then you better hurry down
To the bottom of your soul
Get down, get it all, and be loved"
Love Is A Four Letter Word,2012,Everything Is Sound,"When there is love, I can't wait to talk about it
When things get rough, I like to walk with you
Or when it's night, I like to be the light that's missing
And remind you every minute of the future isn't written
Not yet

When there is love, or when the heart feels heavy
We can lighten it up, if you've had enough
Well you can empty your glass and we can fill it back up
You know it's up to us to make it all up
So what you making up? I can make it up back
You could be loved no matter what
And know the only time is right now, it's right where... where you are
You don't need a vacation when there's nothing to escape from

Singing
La la la la
Let's all sing
La la la la
Laying it down
Everything is sound

Let's sing to be happy, to feel things, to communicate, and be heard
Or sing out to protest, and to project, and to harmonize with birds
Whether it's your birthday or your dying day
It's a celebration too
Rejoice to use your voice and give wings to any of choice
Whatever you're choosing right now, it's right where... where you are
You don't need a vacation when there's nothing to escape from

Set your vibration and undulation to the hightest it can go
And trust me, hear me
If it makes you wanna sing
Just sing it

La la la la
Let's all sing
La la la la
Laying it down
Everything is sound
La la la la
Let's all sing
La la la la
Hallelujah

It's a song that I've forgotten often
It doesn't make me wrong
Cause we all need the darkness, to see the light
In our own eyes, come on, and sing it

La la la la
Let's all sing
La la la la
Laying it down
Everything is sound
La la la la
Let's all sing
La la la la
Hallelujah
We're connected now
La la la la
Let's all sing
Hallelujah
Everything is sound
La la la
Let's all sing
La la la la
Hallelujah
We're connected now"
